iso3,clean_cooking_access,co2_pc,co2_total_mt,control_corruption,dependency_ratio,elec_access,energy_intensity,energy_use_pc,fdi_net_inflow_pct_gdp,fertility_rate,fossil_fuel_pct,gcf_pct_gdp,gdp_growth,gdp_pc_ppp_const,gini,gov_effectiveness,gross_fixed_capital_pct_gdp,gross_savings_pct_gdp,health_exp_pct_gdp,hightech_exports_pct,ict_service_exports_pct,internet_users,life_expectancy,patent_apps_resident,pm25_exposure,political_stability,population,poverty_215,regulatory_quality,renew_share,rnd_exp_pct_gdp,rule_of_law,secondary_enroll,tertiary_enroll,trade_pct_gdp,unemployment,urban_pct,voice_accountability
MHL,24,30,30,20,30,25,23,4,25,30,4,21,30,30,1,20,21,20,24,0,15,28,30,0,29,22,30,1,20,28,0,26,17,7,30,0,30,26
MKD,24,30,30,26,30,29,23,29,30,30,29,30,30,30,19,26,30,29,24,18,29,30,30,21,29,26,30,19,26,27,28,26,26,27,30,30,30,26
MLI,24,30,30,26,30,28,23,0,30,30,0,30,30,30,5,26,30,30,24,12,29,29,30,0,29,26,30,5,26,28,7,26,22,16,30,30,30,26
MLT,24,30,30,26,30,29,23,29,30,30,20,30,30,30,18,26,30,30,24,18,30,30,30,23,29,26,30,18,26,27,22,26,22,23,30,30,30,26
MMR,24,30,30,26,30,24,22,29,30,30,29,0,30,30,2,26,0,0,24,15,12,21,30,0,29,26,30,2,26,27,13,26,17,7,0,30,30,26
MNE,24,0,0,25,30,29,18,19,18,30,19,25,27,28,17,19,25,18,13,17,18,21,30,11,29,25,30,17,19,17,13,25,19,24,25,30,30,25
MNG,24,30,30,26,30,24,22,29,30,30,29,30,30,30,11,26,30,30,24,12,30,28,30,21,29,26,30,11,26,27,26,26,20,30,30,30,30,26
MNP,0,30,30,0,30,29,0,0,0,30,0,0,20,0,0,0,0,0,0,0,0,0,30,0,29,0,30,0,0,28,0,0,0,0,21,0,30,0
MOZ,24,30,30,26,30,27,22,29,30,30,29,30,30,30,6,26,0,20,24,13,20,29,30,17,29,26,30,6,26,27,5,26,18,22,30,30,30,26
MRT,24,30,30,26,30,24,23,0,30,30,0,30,30,30,6,26,30,17,24,7,13,28,30,0,29,26,30,6,26,28,1,26,25,24,30,30,30,26
MUS,24,30,30,26,30,29,22,29,30,30,29,30,30,30,3,26,30,30,24,17,25,29,30,16,29,26,30,3,26,27,18,26,26,29,30,30,30,26
MWI,24,30,30,26,30,29,23,0,30,30,0,8,30,30,5,26,0,8,24,17,22,28,30,8,29,26,30,5,26,28,1,26,27,20,8,30,30,26
MYS,24,30,30,26,30,24,22,29,30,30,28,30,30,30,10,26,30,30,24,16,26,30,30,27,29,26,30,10,26,27,17,26,30,28,30,30,30,26
NAM,24,30,30,26,30,29,22,29,30,30,29,30,30,30,3,26,30,30,24,18,30,30,30,5,29,26,30,3,26,27,3,26,28,20,30,30,30,26
