region_id,country_region,year,e0,imr,e65,s_to_65,e80,exp_death_0,exp_death_65,exp_death_80,adult_gap_65,era,is_total_pop,in_primary_allowlist,label,sex,low_e0
SWE,Sweden,1754,37.5,213.87,11.68,0.2858,5.89,37.5,76.68,85.89,39.18000000000001,pre_1850,True,True,Sweden,both,True
SWE,Sweden,1755,36.58,229.99,11.44,0.2789,5.68,36.58,76.44,85.68,39.86,pre_1850,True,True,Sweden,both,True
SWE,Sweden,1756,36.25,220.99,11.18,0.2683,5.36,36.25,76.18,85.36,39.93000000000001,pre_1850,True,True,Sweden,both,True
SWE,Sweden,1757,33.81,211.11,10.7,0.233,5.46,33.81,75.7,85.46,41.89,pre_1850,True,True,Sweden,both,True
SWE,Sweden,1758,32.92,210.45,9.25,0.1907999999999999,4.6,32.92,74.25,84.6,41.33,pre_1850,True,True,Sweden,both,True
SWE,Sweden,1759,38.21,194.57,10.7,0.264,5.37,38.21,75.7,85.37,37.49,pre_1850,True,True,Sweden,both,True
SWE,Sweden,1760,39.71,192.0,11.41,0.2805,5.63,39.71,76.41,85.63,36.699999999999996,pre_1850,True,True,Sweden,both,True
SWE,Sweden,1761,37.83,213.41,11.66,0.2866,5.79,37.83,76.66,85.79,38.83,pre_1850,True,True,Sweden,both,True
SWE,Sweden,1762,32.49,242.07,10.36,0.221,4.83,32.49,75.36,84.83,42.87,pre_1850,True,True,Sweden,both,True
SWE,Sweden,1763,30.46,244.35,10.09,0.1939999999999999,4.83,30.46,75.09,84.83,44.63,pre_1850,True,True,Sweden,both,True
SWE,Sweden,1764,36.3,217.37,10.65,0.2463,5.08,36.3,75.65,85.08,39.35000000000001,pre_1850,True,True,Sweden,both,True
SWE,Sweden,1765,35.99,219.12,10.13,0.2412,4.69,35.99,75.13,84.69,39.13999999999999,pre_1850,True,True,Sweden,both,True
SWE,Sweden,1766,38.11,219.33,11.05,0.2836,5.11,38.11,76.05,85.11,37.94,pre_1850,True,True,Sweden,both,True
SWE,Sweden,1767,38.23,215.82,10.38,0.273,4.65,38.23,75.38,84.65,37.15,pre_1850,True,True,Sweden,both,True
SWE,Sweden,1768,35.05,223.64,10.87,0.2686,5.17,35.05,75.87,85.17,40.82000000000001,pre_1850,True,True,Sweden,both,True
SWE,Sweden,1769,34.71,219.14,11.14,0.2673999999999999,5.38,34.71,76.14,85.38,41.43,pre_1850,True,True,Sweden,both,True
SWE,Sweden,1770,36.66,212.06,10.74,0.273,5.15,36.66,75.74,85.15,39.08,pre_1850,True,True,Sweden,both,True
SWE,Sweden,1771,35.43,210.82,9.85,0.2386,4.8,35.43,74.85,84.8,39.419999999999995,pre_1850,True,True,Sweden,both,True
SWE,Sweden,1772,27.73,222.02,8.22,0.1253999999999999,3.77,27.73,73.22,83.77,45.489999999999995,pre_1850,True,True,Sweden,both,True
SWE,Sweden,1773,17.99,238.56,7.14,0.0533,3.33,17.99,72.14,83.33,54.150000000000006,pre_1850,True,True,Sweden,both,True
SWE,Sweden,1775,38.15,193.94,10.74,0.2859,4.6,38.15,75.74,84.6,37.589999999999996,pre_1850,True,True,Sweden,both,True
SWE,Sweden,1777,38.13,190.51,10.4,0.2869,5.29,38.13,75.4,85.29,37.27,pre_1850,True,True,Sweden,both,True
SWE,Sweden,1778,35.56,209.14,10.63,0.2804,4.91,35.56,75.63,84.91,40.06999999999999,pre_1850,True,True,Sweden,both,True
