region_id,label,year,e0,imr,e65,exp_death_65,s_to_65,adult_gap_65
SWE,Sweden,1783,33.72,193.32,9.95,74.95,0.2466,41.230000000000004
SWE,Sweden,1784,31.44,196.97,10.2,75.2,0.2271999999999999,43.760000000000005
SWE,Sweden,1785,33.48,193.45,9.8,74.8,0.2453,41.32
SWE,Sweden,1786,37.9,207.61,9.66,74.66,0.2595,36.76
SWE,Sweden,1788,36.82,214.45,10.1,75.1,0.2672,38.279999999999994
SWE,Sweden,1789,31.23,218.99,9.93,74.93,0.1816,43.7
SWE,Sweden,1790,33.6,201.33,9.93,74.93,0.2133,41.330000000000005
SWE,Sweden,1791,38.45,191.87,9.67,74.67,0.2658,36.22
SWE,Sweden,1792,39.84,207.56,10.53,75.53,0.3128,35.69
SWE,Sweden,1793,39.64,199.79,10.52,75.52,0.3063,35.879999999999995
SWE,Sweden,1795,36.55,198.04,9.07,74.07,0.2506,37.519999999999996
SWE,Sweden,1796,38.88,202.17,10.42,75.42,0.3079,36.54
SWE,Sweden,1799,39.34,194.81,9.51,74.51,0.2884,35.17
SWE,Sweden,1800,32.19,227.06,8.73,73.73,0.2092,41.540000000000006
SWE,Sweden,1801,36.91,209.21,9.98,74.98,0.267,38.07000000000001
SWE,Sweden,1804,39.7,190.35,9.69,74.69,0.2811,34.989999999999995
SWE,Sweden,1806,36.2,221.47,10.04,75.03999999999999,0.2559,38.83999999999999
SWE,Sweden,1807,38.77,190.21,9.54,74.53999999999999,0.2633,35.76999999999999
SWE,Sweden,1808,30.19,217.42,8.63,73.63,0.1625,43.44
SWE,Sweden,1809,26.91,208.31,8.08,73.08,0.1106,46.17
SWE,Sweden,1810,31.99,204.88,8.84,73.84,0.1851,41.85000000000001
SWE,Sweden,1811,34.59,204.37,9.66,74.66,0.2176,40.06999999999999
SWE,Sweden,1812,35.11,201.43,8.43,73.43,0.201,38.32000000000001
SWE,Sweden,1813,36.5,179.53,9.41,74.41,0.238,37.91
SWE,Sweden,1814,38.6,181.99,10.01,75.01,0.2813,36.410000000000004
SWE,Sweden,1819,36.97,182.87,9.28,74.28,0.2442,37.31
SWE,Sweden,1821,38.17,181.58,10.38,75.38,0.2784,37.209999999999994
SWE,Sweden,1828,37.76,174.92,9.65,74.65,0.2429,36.89000000000001
SWE,Sweden,1829,36.21,198.97,8.87,73.87,0.2205,37.660000000000004
SWE,Sweden,1831,39.0,189.81,8.93,73.93,0.2557,34.93000000000001
SWE,Sweden,1834,38.55,175.95,10.09,75.09,0.238,36.540000000000006
SWE,Sweden,1837,39.6,189.65,9.29,74.28999999999999,0.2751,34.68999999999999
SWE,Sweden,1839,39.87,162.69,9.98,74.98,0.2676,35.11000000000001
SWE,Sweden,1853,39.99,160.0,9.9,74.9,0.272,34.910000000000004
SWE,Sweden,1857,34.62,163.93,9.99,74.99,0.2391,40.37
UK:_ENGLAND_&_WALES_CIVILIAN_POPULATION,UK: ENGLAND & WALES CIVILIAN POPULATION,1846,39.91,163.25,11.28,76.28,0.3034,36.370000000000005
UK:_ENGLAND_&_WALES_CIVILIAN_POPULATION,UK: ENGLAND & WALES CIVILIAN POPULATION,1847,38.29,158.07,10.31,75.31,0.2691,37.02
UK:_ENGLAND_&_WALES_CIVILIAN_POPULATION,UK: ENGLAND & WALES CIVILIAN POPULATION,1848,39.46,154.72,11.1,76.1,0.2958,36.63999999999999
UK:_ENGLAND_&_WALES_CIVILIAN_POPULATION,UK: ENGLAND & WALES CIVILIAN POPULATION,1849,37.34,158.81,10.65,75.65,0.2521,38.31
UK:_ENGLAND_&_WALES_CIVILIAN_POPULATION,UK: ENGLAND & WALES CIVILIAN POPULATION,1854,39.3,156.5,11.22,76.22,0.2930999999999999,36.92
UK:_ENGLAND_&_WALES_CIVILIAN_POPULATION,UK: ENGLAND & WALES CIVILIAN POPULATION,1858,39.99,155.48,11.08,76.08,0.31,36.089999999999996
UK:_ENGLAND_&_WALES_CIVILIAN_POPULATION,UK: ENGLAND & WALES CIVILIAN POPULATION,1864,39.93,151.4,10.88,75.88,0.2934,35.949999999999996
UK:_ENGLAND_&_WALES_TOTAL_POPULATION,England & Wales,1846,39.91,163.25,11.28,76.28,0.3034,36.370000000000005
UK:_ENGLAND_&_WALES_TOTAL_POPULATION,England & Wales,1847,38.29,158.07,10.31,75.31,0.2691,37.02
UK:_ENGLAND_&_WALES_TOTAL_POPULATION,England & Wales,1848,39.46,154.72,11.1,76.1,0.2958,36.63999999999999
UK:_ENGLAND_&_WALES_TOTAL_POPULATION,England & Wales,1849,37.34,158.81,10.65,75.65,0.2521,38.31
UK:_ENGLAND_&_WALES_TOTAL_POPULATION,England & Wales,1854,39.3,156.5,11.22,76.22,0.2930999999999999,36.92
UK:_ENGLAND_&_WALES_TOTAL_POPULATION,England & Wales,1858,39.99,155.48,11.08,76.08,0.31,36.089999999999996
UK:_ENGLAND_&_WALES_TOTAL_POPULATION,England & Wales,1864,39.93,151.4,10.88,75.88,0.2934,35.949999999999996
