state,fire_year,size_class,cause_class,n,acres
OR,2011,C,Natural,44,1514.18
OR,2011,D,Human,9,1719.0
OR,2011,D,Natural,19,3072.0
OR,2011,E,Human,3,1170.0
OR,2011,E,Natural,11,6626.4
OR,2011,F,Human,5,6825.0
OR,2011,F,Natural,17,34311.0
OR,2011,G,Human,2,13830.0
OR,2011,G,Natural,14,152862.0
OR,2012,A,Human,871,82.52000000000001
OR,2012,A,Missing data/not specified/undetermined,1,0.1
OR,2012,A,Natural,300,34.25
OR,2012,B,Human,240,437.01
OR,2012,B,Missing data/not specified/undetermined,3,3.0
OR,2012,B,Natural,117,216.07
OR,2012,C,Human,38,1145.57
OR,2012,C,Natural,24,818.45
OR,2012,D,Human,5,887.0
OR,2012,D,Missing data/not specified/undetermined,2,421.0
OR,2012,D,Natural,11,1763.0
OR,2012,E,Human,4,2064.0
OR,2012,E,Natural,9,6000.0
OR,2012,F,Human,6,10120.2
OR,2012,F,Natural,9,20590.0
OR,2012,G,Human,2,25929.8
OR,2012,G,Natural,15,1460593.3
OR,2013,A,Human,722,70.62
OR,2013,A,Missing data/not specified/undetermined,9,0.5900000000000001
OR,2013,A,Natural,1097,121.41000000000001
OR,2013,B,Human,240,380.71
OR,2013,B,Missing data/not specified/undetermined,7,26.200000000000003
OR,2013,B,Natural,321,453.55
OR,2013,C,Human,29,915.85
OR,2013,C,Missing data/not specified/undetermined,1,40.0
OR,2013,C,Natural,60,2136.8
OR,2013,D,Human,16,2374.2
OR,2013,D,Natural,19,3258.2
OR,2013,E,Human,4,1919.0
OR,2013,E,Natural,8,3965.2
OR,2013,F,Human,2,5084.0
OR,2013,F,Missing data/not specified/undetermined,1,1007.0
OR,2013,F,Natural,12,27804.0
OR,2013,G,Human,1,53000.0
OR,2013,G,Natural,13,216882.6
OR,2014,A,Human,845,76.98
OR,2014,A,Natural,1273,149.61
OR,2014,B,Human,256,383.85
OR,2014,B,Natural,439,597.07
OR,2014,C,Human,50,1666.15
OR,2014,C,Natural,79,2281.07
OR,2014,D,Human,19,3727.0
OR,2014,D,Natural,17,3419.0
OR,2014,E,Human,5,2482.0
